prod_name,sale_qty,sale_cost,sale
AMLA JUICE 500ML,15,1110.15,1320
AMUL KOOL BADAM 200ML BTL,133,2421.06,2678
AMUL KOOL CAFE  200ML BTL,10,212.7,240
AMUL KOOL ELAICHI 200ML  BTL,59,1129.75,1220
AMUL KOOL KESAR 200ML BTL,54,986.75,1089
AMUL KOOL MILK ROSE 200ML BTL,29,548.83,599
B-NATURAL DAKSHIN GAUVA 750ML,6,622.94,684
B-NATURAL MANGO NECTAR 1LT,72,3600,3960
B-NATURAL MIXED FRUIT 1LT,36,1800,1980
B-NATURAL ORANGE  JUICE 1LT,3,139.83,165
B-NATURAL ORANGE OOMPH 1LTR,57,2850,3135
B-NATURAL PINK GUAVA 1LT,57,2850,3135
B-NATURAL ROSE LYTCHEE 1LT,50,2500,2750
BRIT WINKIN COW CHO SHA 200ML,109,2199.31,2495.91
BRIT WINKIN COW MAN SHA 200ML,61,1297.02,1464
CHITALE BUTTER MILK 500ML,12,177,204
COCA COLA 600ML BTL,101,3661.21,3939
COCA-COL 250ML BTL,210,3765.02,4200
FRESCA APPLE PET 1L,10,1087.5,1250
FRESCA APPLE TR 200ML,23,155.25,172.5
FRESCA GAUVA PET 1L,16,1518.15,1751
FRESCA LITCHI PET 1L,12,1305.01,1500
FRESCA MANGO PET 1L,13,1341.25,1542
FRESCA MANGO TR 200ML,239,1780.77,2127.5
FRESCA MIX FRUIT PET 1L,6,208.8,249
FRESCA ORANGE PET 1L,12,1305,1500
GLUCON -D ORANGE 100GM CBD,21,871.31,962
HERSHEYS SPRE COC WI ALM135G,7,1072.72,1166
HERSHEYS SPREADS COCOA 135 GM,9,1363.64,1482
HERSHY SYRUP CHOCOLATE 200GM,19,1640.96,1786
HERSHY SYRUP CHOCOLATE 623GM,3,599.99,654
HERSHY SYRUP STRAWBERRY 623 G,5,431.82,470
KALVERT  ROSE  SYRUP 700ML,14,1513.45,1837
KALVERT LEM BARLEY WATE R 750,13,990,1214
KALVERT ROSE  SYRUP 200ML,12,346.56,432
KINLEY DRINKING WATER 500ML,351,2632.45,3510
KINLEY WATER 1LTR BTL,254,3047.93,5080
MAAZA 1.2 LT PET,247,11320.83,12103
MAAZA 250ML,327,5994.99,6540
MAPRO CRUSH MANGO 750ML,3,420,513
MAPRO CRUSH ORANGE 750ML,3,420,513
MAPRO CRUSH PINEAPPLE 750ML,2,280,342
MAPRO CRUSH STRAWBERRY 750ML,3,420,513
MAPRO SYRUP ROSE 700ML,3,420,513
MAPRO TOPPING CHO SYRUP 200ML,3,235.2,267
MINUTE MAID NIMBU FRESH 400ML,12,219.99,240
MINUTE MAID PUL ORANG 250ML,56,1026.58,1120
NATURE DAY FRE LIM 1500ML BTL,30,1565.4,1908
NATURE DAY FRE LIME 600ML BTL,89,2321.12,2822
NATURE DAY GINGER 600ML BTL,37,964.96,1184
NATURE DAY JEERA 1500ML BTL,32,1669.76,2034
NATURE DAY JEERA 600ML BTL,45,1173.6,1435
NATURE DAY KOKAM 600ML BTL,65,1695.2,2075
NATURE DAY ORANGE 1500ML BTL,19,991.42,1208
NATURE DAY ORANGE 600ML BTL,68,1768.04,2157
NATURE DAY SPARK LITCHI 600ML,35,912.8,1120
NATURE DAY SPR  GINGER 1.5L,16,834.88,1024
NATURE DAY SPR  KOKUM 1.5L,26,1356.68,1656
NATURE DAY SPR LITCHI 1.5 LTR,12,626.16,768
NATURE DAY SPR NIMBU PUD 1.5L,9,469.62,576
NATURE DAY SPR NIMBU PUD 600M,48,1251.84,1536
OXY LIFE CREME BLEACH 27GM,1,73.1,81
