prod_name,sale_qty,sale_cost,sale
Cold_Drinks,15,1110.15,1320
Cold_Drinks,133,2421.06,2678
Cold_Drinks,10,212.7,240
Cold_Drinks,59,1129.75,1220
Cold_Drinks,54,986.75,1089
Cold_Drinks,29,548.83,599
Cold_Drinks,6,622.94,684
Cold_Drinks,72,3600,3960
Cold_Drinks,36,1800,1980
Cold_Drinks,3,139.83,165
Cold_Drinks,57,2850,3135
Cold_Drinks,57,2850,3135
Cold_Drinks,50,2500,2750
Cold_Drinks,109,2199.31,2495.91
Cold_Drinks,61,1297.02,1464
Cold_Drinks,12,177,204
Cold_Drinks,101,3661.21,3939
Cold_Drinks,210,3765.02,4200
Cold_Drinks,10,1087.5,1250
Cold_Drinks,23,155.25,172.5
Cold_Drinks,16,1518.15,1751
Cold_Drinks,12,1305.01,1500
Cold_Drinks,13,1341.25,1542
Cold_Drinks,239,1780.77,2127.5
Cold_Drinks,6,208.8,249
Cold_Drinks,12,1305,1500
Cold_Drinks,21,871.31,962
Cold_Drinks,7,1072.72,1166
Cold_Drinks,9,1363.64,1482
Cold_Drinks,19,1640.96,1786
Cold_Drinks,3,599.99,654
Cold_Drinks,5,431.82,470
Cold_Drinks,14,1513.45,1837
Cold_Drinks,13,990,1214
Cold_Drinks,12,346.56,432
Cold_Drinks,351,2632.45,3510
Cold_Drinks,254,3047.93,5080
Cold_Drinks,247,11320.83,12103
Cold_Drinks,327,5994.99,6540
Cold_Drinks,3,420,513
Cold_Drinks,3,420,513
Cold_Drinks,2,280,342
Cold_Drinks,3,420,513
Cold_Drinks,3,420,513
Cold_Drinks,3,235.2,267
Cold_Drinks,12,219.99,240
Cold_Drinks,56,1026.58,1120
Cold_Drinks,30,1565.4,1908
Cold_Drinks,89,2321.12,2822
Cold_Drinks,37,964.96,1184
Cold_Drinks,32,1669.76,2034
Cold_Drinks,45,1173.6,1435
Cold_Drinks,65,1695.2,2075
Cold_Drinks,19,991.42,1208
Cold_Drinks,68,1768.04,2157
Cold_Drinks,35,912.8,1120
Cold_Drinks,16,834.88,1024
Cold_Drinks,26,1356.68,1656
Cold_Drinks,12,626.16,768
Cold_Drinks,9,469.62,576
Cold_Drinks,48,1251.84,1536
Cold_Drinks,1,73.1,81
Cold_Drinks,6,254.55,274
Cold_Drinks,60,3649.89,3840
Cold_Drinks,1,40.01,43
Cold_Drinks,1,40.01,43
Cold_Drinks,111,1108.07,1290
Cold_Drinks,32,3088.29,3388
Cold_Drinks,39,3643.35,3996
Cold_Drinks,4,397.32,456
Cold_Drinks,3,272.13,312
Cold_Drinks,24,2329.82,2556
Cold_Drinks,18,1815.06,1992
Cold_Drinks,11,1146.86,1259
Cold_Drinks,36,3737.66,4104
Cold_Drinks,29,385.41,435
Cold_Drinks,20,361.76,400
Cold_Drinks,41,4294.73,4707
Cold_Drinks,18,1788.18,1962
Cold_Drinks,27,3683.34,4131
Cold_Drinks,4,221,256
Cold_Drinks,14,350.01,476
Cold_Drinks,70,4258.26,4480
Cold_Drinks,287,5124.99,5740
Cold_Drinks,86,7883.9,8392
Cold_Drinks,179,6488.68,6981
Cold_Drinks,22,2765.93,3023
Cold_Drinks,21,566.51,611.5
Cold_Drinks,12,327.24,348
Cold_Drinks,10,272.7,290
Cold_Drinks,23,2826.52,3089
Cold_Drinks,34,4295.79,4672
Cold_Drinks,12,1529.28,1656
Cold_Drinks,105,2867.53,3045
Cold_Drinks,11,290.7,321.5
Cold_Drinks,1257,10998.75,12569.79
Cold_Drinks,61,5580.82,5938
Cold_Drinks,327,5839.32,6540
Cold_Drinks,148,5364.95,5772
Cold_Drinks,3,270,311
Cold_Drinks,31,418.5,620
Cold_Drinks,5,375,430
Cold_Drinks,10,135,200
Cold_Drinks,1,85,98
Cold_Drinks,23,310.5,460
Cold_Drinks,10,135,200
Cold_Drinks,13,175.5,260
Cold_Drinks,2,27,40
Cold_Drinks,2,160,184
Cold_Drinks,19,256.5,380
Cold_Drinks,6,510,588
Cold_Drinks,10,135,200
Cold_Drinks,3,390.03,474
Cold_Drinks,13,1196.1,1405
Cold_Drinks,65,8450.64,10270
Dairy_Prod,354,17269.38,18042
Dairy_Prod,50,12016.3,12690
Dairy_Prod,111,7813.61,8186
Dairy_Prod,73,8969.52,9417
Dairy_Prod,65,3982.38,4160
Dairy_Prod,240,3312,3630
Dairy_Prod,133,13223.74,13947.73
Dairy_Prod,30,400.8,470
Dairy_Prod,847,10872.89,12581
Dairy_Prod,46,4882.96,5134
Dairy_Prod,33,4358.14,4840
Dairy_Prod,9,779.77,858
Dairy_Prod,12,1704.23,1914
Dairy_Prod,23,2876.25,3252
Dairy_Prod,51,3492.98,3887
Dairy_Prod,318,2986.39,3318
Dairy_Prod,126,2421.19,2653
Dairy_Prod,134,2570.8,2816
Dairy_Prod,293,21414.04,23497
Dairy_Prod,14,1629.99,1826
Dairy_Prod,268,7283.81,7924
Dairy_Prod,171,8276.02,9234
Dairy_Prod,20,1383.7,1540
Dairy_Prod,47,3090.39,3438
Dairy_Prod,23,2820.71,3154.21
Dairy_Prod,3,207.56,231
Dairy_Prod,2,259.13,306
Dairy_Prod,12,1633.67,1915
Dairy_Prod,11,1481.57,1748
Dairy_Prod,77,4913.05,5487.5
Dairy_Prod,28,3390.95,3668
Dairy_Prod,436,2391.51,2750
Dairy_Prod,509,2213.81,2545
Dairy_Prod,9,785.43,891
Dairy_Prod,2,297.36,334
Dairy_Prod,3,261.81,297
Dairy_Prod,50,424.89,500
Dairy_Prod,27,556,624
Dairy_Prod,17,1275.02,1343
Dairy_Prod,26,655.99,760
Dairy_Prod,12,689.97,804
Dairy_Prod,16,717.15,768
Hair_Care,12,362.69,423
Hair_Care,10,413.5,516
Hair_Care,4,291.81,367
Hair_Care,18,1146.42,1242
Hair_Care,7,874.93,956
Hair_Care,6,1063.63,1158
Hair_Care,1,277.27,302
Hair_Care,12,403.56,432
Hair_Care,14,1377.4,1530
Hair_Care,8,697.13,794
Hair_Care,14,619.72,707
Hair_Care,897,686.01,896.91
Hair_Care,1,35.46,38
Hair_Care,20,917.07,1006
Hair_Care,2,197.52,222
Hair_Care,7,1377.41,1527
Hair_Care,16,23.74,32
Hair_Care,12,1154.28,1279.73
Hair_Care,17,718.61,867
Hair_Care,8,1580.23,1752
Hair_Care,2,627.1,716
Hair_Care,5,216.23,230
Hair_Care,3,54.87,60
Hair_Care,2,250.89,272
Hair_Care,2,165.67,178
Hair_Care,9,369.09,396
Hair_Care,1,160.72,178
Hair_Care,2,100,108
Hair_Care,7,287.1,308
Hair_Care,2,72.71,78
Hair_Care,2,82.08,88
Hair_Care,8,328.14,352
Hair_Care,5,207.09,220
Hair_Care,3,264.54,288
Hair_Care,8,1541.6,1672
Hair_Care,2,282.18,316
Hair_Care,154,228.34,308
Hair_Care,23,1800.78,2010
Hair_Care,10,599.62,670
Hair_Care,6,879.37,1002
Hair_Care,6,476.18,528
Hair_Care,8,505.29,565
Hair_Care,4,297.8,340
Hair_Care,6,890.19,999
Hair_Care,4,100.88,116
Hair_Care,1,167.55,188
Hair_Care,12,1746,1956
Hair_Care,17,1322.18,1489
Hair_Care,12,1798.92,2016
Hair_Care,10,1472.38,1656
Hair_Care,3,833.31,930
Hair_Care,13,785.07,871
Hair_Care,1,277.77,308
Hair_Care,19,1139.29,1269.65
Hair_Care,10,1428.69,1611
Hair_Care,2,554.66,620
Hair_Care,23,1393.27,1550
Hair_Care,80,288.2,400
Hair_Care,6,198.78,231
Hair_Care,6,186.42,222
Hair_Care,22,744.82,862
Hair_Care,14,465.97,526
Hair_Care,20,691.28,788
Hair_Care,1,76.29,88
Hair_Care,2,360.62,414
Hair_Care,1,98.57,113
Hair_Care,3,228.87,264
Hair_Care,10,133.93,150
Hair_Care,13,1740.7,2046
Hair_Care,14,1870.26,2195
Hair_Care,10,133.93,150
Hair_Care,11,324.5,352
Hair_Care,16,357.21,384
Hair_Care,21,381.8,420
Hair_Care,5,90.9,100
Hair_Care,76,1768.51,1896
Hair_Care,64,1917.68,2082
Hair_Care,5,46.3,50
Hair_Care,16,175.34,192
Hair_Care,8,87.67,96
Hair_Care,12,109.03,120
Hair_Care,28,254.44,280
Hair_Care,45,195.65,225
Hair_Care,45,391.65,450
Hair_Care,102,2940.37,3078.3
Hair_Care,6,781.37,861
Hair_Care,5,314.99,346
Hair_Care,14,1008.14,1144
Hair_Care,4,250.55,280
Hair_Care,7,452.01,497
Hair_Care,2,253.64,280
Hair_Care,1,589.29,648
Hair_Care,21,3361.84,3771
Hair_Care,12,765.53,840
Hair_Care,2,507.82,560
Hair_Care,7,1163.6,1284
Hair_Care,11,677.44,748
Hair_Care,8,1120.06,1228
Hair_Care,1,589.29,648
Hair_Care,16,1082,1178
Hair_Care,1,589.29,648
Hair_Care,5,873.62,957
Hair_Care,1,340.91,372
Hair_Care,32,2245.75,2539
Hair_Care,19,3050.02,3400
Hair_Care,1,268.19,293
Hair_Care,2,150,188
Hair_Care,2,112.26,128
Hair_Care,2,107.1,123
Hair_Care,1,56.37,61.5
Hair_Care,6,442.01,480
Hair_Care,6,212.42,240
Hair_Care,10,3582,4140
Hair_Care,12,48.99,60
Hair_Care,15,23.77,30
Hair_Care,15,1785.69,1989
Hair_Care,4,825.4,920
Hair_Care,2,148.56,158
Hair_Care,1,84.86,98
Hair_Care,2,324,372
Hair_Care,5,321.44,370
Hair_Care,2,118.28,136
Hair_Care,4,596.58,685
Hair_Care,4,258.88,298
Hair_Care,2,247.98,286
Hair_Care,3,382.51,420
Hair_Care,1,272.73,298
Hair_Care,11,1577.72,1717
Hair_Care,1,272.73,298
Hair_Care,2,156.52,172
Hair_Care,3,168.18,182
Hair_Care,1,98.18,108
Hair_Care,4,231.83,251
Hair_Care,1,179.36,200
Hair_Care,11,650.02,704
Hair_Care,9,518.18,561
Hair_Care,3,327.27,357
Hair_Care,6,709.06,769
Hair_Care,2,218.18,236
Hair_Care,10,1178.48,1276
Hair_Care,4,436.36,472
Hair_Care,58,4062.86,4397.05
Hair_Care,46,5433.74,5864
Hair_Care,75,2754.05,2925
Hair_Care,5,473.9,545
Hair_Care,4,200.6,216
Hair_Care,30,550.82,600
Hair_Care,248,8709.33,9353.53
Hair_Care,4,1353.4,1506
Hair_Care,242,14618.89,15752
Hair_Care,171,14732.18,15973.24
Hair_Care,94,16672.66,17787
Hair_Care,141,2589.22,2818.81
Hair_Care,9,360,387
Hair_Care,53,1894.88,2030
Hair_Care,24,1786.95,1952
Hair_Care,12,1355.7,1510
Hair_Care,24,217.86,240
Hair_Care,7,682.68,770
Hair_Care,3,271.75,305
Hair_Care,8,628.09,709.05
Hair_Care,3,259.68,295
Hair_Care,10,700.88,790
Hair_Care,2,148.74,170
Hair_Care,17,2217.83,2523
Hair_Care,3,713.38,786
Hair_Care,1,118.18,129
Hair_Care,45,35,45
Hair_Care,6,1502.72,1680
Hair_Care,72,106.12,144
Hair_Care,11,1254.92,1405
Hair_Care,234,176.48,234
Hair_Care,13,644.72,722
Hair_Care,7,358.03,399
Hair_Care,7,802.46,896
Hair_Care,1,195.46,214
Hair_Care,1,116.4,130
Hair_Care,26,1358.02,1514
Hair_Care,94,136.69,188
Hair_Care,3,568.77,636
Hair_Care,95,70.62,95
Hair_Care,8,486.8,544
Hair_Care,8,609.91,683
Hair_Care,14,864.18,966
Hair_Care,6,883.39,978
Hair_Care,18,1119.92,1252
Hair_Care,16,23.36,32
Hair_Care,21,3244.73,3612
Hair_Care,16,23.36,32
Hair_Care,1,186.65,215
Hair_Care,1,3.06,5
Hair_Care,7,1007.79,1120
Hair_Care,10,917.29,1060
Hair_Care,9,555.56,621
Hair_Care,16,23.36,32
Hair_Care,4,516.82,580
Hair_Care,4,248.82,276
Oral_Care,78,3728.31,4150
Oral_Care,2,181.82,198
Oral_Care,58,5024.25,5568
Oral_Care,49,7498.36,8192
Oral_Care,78,1358.88,1560
Oral_Care,13,226.9,260
Oral_Care,7,622.23,812
